type,id,lat/u,lon/v,-/dist,name
node,104144447,40.5204907,-74.4856218,,
node,104144449,40.5204287,-74.4858518,,
node,104144451,40.5203598,-74.4860694,,
node,104144453,40.5201819,-74.4864281,,
node,104145610,40.5211874,-74.474282,,
node,104145612,40.520301,-74.4748801,,
node,104145616,40.520373,-74.475081,,
node,104145618,40.5212604,-74.4744665,,
node,104145659,40.5282512,-74.4706193,,
node,104145661,40.5281783,-74.4706099,,
node,104145667,40.5282219,-74.4702591,,
node,104145668,40.5283846,-74.4702788,,
node,104145669,40.5284157,-74.4703078,,
node,104145671,40.5284258,-74.4703683,,
node,104145673,40.5284089,-74.4704623,,
node,104145675,40.5283687,-74.4705349,,
node,104146741,40.5224422,-74.4727244,,
node,104146742,40.5223915,-74.4725898,,
node,104146743,40.5223069,-74.4724629,,
node,104146744,40.5222573,-74.4724117,,
node,104146745,40.5222045,-74.4724816,,
node,104146746,40.5220878,-74.4725791,,
node,104146747,40.5216068,-74.4729912,,
node,104146811,40.4730941,-74.4438079,,
node,104146813,40.473493,-74.442835,,
node,104146815,40.473916,-74.441891,,
node,104147316,40.4636377,-74.4614005,,
node,104147318,40.4641878,-74.4609018,,
node,104147320,40.464732,-74.4604029,,
node,104148134,40.525666,-74.4717151,,
node,104148148,40.4894213,-74.4511747,,
node,104148150,40.4898723,-74.4504089,,
node,104148218,40.485225,-74.438182,,
node,104148220,40.4847953,-74.4374745,,
node,104149112,40.4775433,-74.4578652,,
node,104149608,40.5255225,-74.4166988,,
node,104149920,40.4672538,-74.4383732,,
node,104150060,40.4922671,-74.421836,,
node,104150533,40.5218948,-74.4722572,,
node,104150536,40.5219541,-74.4722348,,
node,104150538,40.5220204,-74.4722417,,
node,104150850,40.463222,-74.448168,,
node,104150857,40.4766348,-74.4297189,,
node,104150859,40.4785001,-74.4300304,,
node,104150892,40.4648807,-74.4471307,,
node,104150935,40.4676262,-74.445631,,
node,104151013,40.492284,-74.4387381,,
node,104151678,40.49702,-74.4424303,,
node,104151679,40.4969077,-74.4424069,,
node,104151746,40.5014332,-74.4156632,,
node,104151765,40.4926308,-74.446264,,
node,104151860,40.5066331,-74.4650599,,
node,104152446,40.4866954,-74.430793,,
node,104152452,40.4868585,-74.4317901,,
node,104153645,40.5086634,-74.4349568,,
node,104153647,40.5083543,-74.434444,,
node,104155154,40.5074636,-74.4350847,,
node,104155157,40.5078951,-74.4357963,,
node,104156020,40.4761691,-74.4257102,,
node,104156422,40.5083275,-74.4220192,,
node,104157149,40.4815334,-74.4706924,,
node,104157152,40.478754,-74.4738473,,
node,104157153,40.4785988,-74.4738727,,
node,104157155,40.4785486,-74.4738512,,
node,104157158,40.477671,-74.472582,,
node,104157161,40.477645,-74.472478,,
node,104157163,40.477632,-74.472375,,
node,104157165,40.477763,-74.471995,,
node,104157167,40.47808,-74.471641,,
node,104157169,40.478126,-74.471572,,
node,104157171,40.478145,-74.471469,,
node,104157173,40.478126,-74.471391,,
node,104157175,40.477718,-74.470732,,
node,104158758,40.5290952,-74.48887,,
node,104158790,40.5268363,-74.4816004,,
node,104158852,40.5252816,-74.4844192,,
node,104158924,40.5154188,-74.472743,,
node,104159102,40.5243357,-74.4869099,,
node,104159728,40.476918,-74.447637,,
node,104159961,40.476201,-74.446415,,
node,104159962,40.4734492,-74.4441252,,
node,104159963,40.4721215,-74.4430669,,
node,104159964,40.4720289,-74.4429687,,
node,104159965,40.4719611,-74.4428713,,
node,104159966,40.471926,-74.4428016,,
node,104159968,40.4719012,-74.4427106,,
node,104159972,40.4718945,-74.4426466,,
node,104159974,40.4718985,-74.4425929,,
node,104159976,40.471931,-74.4425196,,
node,104159978,40.4723828,-74.4419685,,
node,104159980,40.473154,-74.4410119,,
node,104162111,40.5082747,-74.4353552,,
node,104162113,40.5078716,-74.4346817,,
node,104162203,40.5099218,-74.4336419,,
node,104162206,40.5094788,-74.4329098,,
node,104162210,40.5181205,-74.4741122,,
node,104162229,40.4656431,-74.4500353,,
node,104162895,40.4961252,-74.4581057,,
node,104162897,40.4953391,-74.4581551,,
node,104162899,40.4944802,-74.4589354,,
node,104162902,40.494029,-74.4591562,,
node,104163359,40.5086185,-74.4159873,,
node,104163441,40.5278223,-74.4267443,,
